trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
137,False,"{'a': 0.5, 'e': 0.29141701395008573}",25,13,21.557839105449748,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.28880602788595566}",20,1,-44.21054736314527,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
139,False,"{'a': 0.5, 'e': 0.2862184352679895}",20,7,-17.63054174454918,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.2836540264997704}",25,4,0.34545891451589905,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.28111259386278603}",25,9,17.263925242742875,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.2785939314996033}",20,2,14.686314818458827,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.2760978353971936}",20,7,-22.674333286450814,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
144,False,"{'a': 0.5, 'e': 0.2736241033704081}",25,3,30.096653926701535,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.2711725350455999}",20,9,-21.23955033262859,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.5, 'e': 0.2687429318443944}",20,10,9.069731204435211,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.2663350969676039}",25,13,-2.839370340187564,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.2639488353792869}",20,0,-6.349416207130266,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.26158395379094995}",35,18,21.602567922343322,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.25924026064589156}",25,20,7.534434429480175,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.25691756610368544}",20,14,3.793822899544365,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.2546156820248038}",20,16,6.448034757269781,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
