trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6852305006658703}",25,0,-31.498044949900375,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6790910949266369}",20,8,-18.472679330398247,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6730066959373865}",20,0,-65.04235993542954,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.6669768108584744}",20,0,-32.03412928594317,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.6610009512659125}",20,0,-93.47923896769932,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.6550786331118063}",35,0,-174.7583176354988,"{0: 23, 1: 2, 2: 7, 3: 0, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.6492093766851474}",20,0,-12.00630409439318,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.6433927065729562}",20,0,-13.35335466884453,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,0,-4.392369248844473,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.6319152448994959}",20,13,-41.227333653374416,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.6262535236575559}",25,0,-51.16497834712624,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.6206425292934373}",25,0,7.913460934282239,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.6150818073135287}",20,12,-35.068892177982974,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.6095709072963094}",25,8,-35.98980885068175,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.6041093828558647}",20,0,-133.71272403855545,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
57,False,"{'a': 0.5, 'e': 0.5986967916057292}",20,0,-51.271835489935654,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.5933326951230521}",30,0,-69.76337915315197,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.5880166589130854}",20,0,-2.0902657554925743,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.5827482523739898}",20,0,-19.73207667662085,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.5775270487619547}",25,14,-17.71955807590286,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.5723526251566333}",20,15,2.0798693837599966,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.5672245624268841}",20,9,-4.9960632590214535,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.5621424451968224}",25,19,-2.220408411688295,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5571058618121739}",30,7,-50.920961950676265,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.5521144043069306}",20,14,11.570575420376514,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.5471676683703055}",30,15,-24.02736224081681,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.5422652533139832}",20,0,-68.52213123369465,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.5374067620396636}",30,0,-102.38309843696288,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.5325918010068972}",20,0,5.619467002594808,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.5278199802012077}",20,13,5.157354760350764,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.5230909131025009}",20,0,-4.878156242057428,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.518404216653756}",20,0,18.609910335649126,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.5137595112299984}",30,13,-74.45397370330181,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.5091564206075492}",25,0,-10.562023076103417,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.5045945719335512}",35,14,-102.84837033790173,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 3}",1
77,False,"{'a': 0.5, 'e': 0.5000735956957677}",30,0,-74.45984282268431,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.49559312569265146}",20,4,-13.800752651227723,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.49115279900368264}",20,0,-30.48022456481272,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.4867522559599717}",30,4,-52.868972451075564,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.4823911401151259}",25,13,8.711257863816318,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.4780690982163776}",20,8,-15.943714738173242,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.4737857801759698}",20,13,10.033440621110895,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.4695408390427993}",20,0,-36.45762190313658,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.4653339309743134}",20,0,16.951709102310062,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
